	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p004.txt	3	0.704164749	9	0.243351906	4	0.015022844	6	0.006640163	5	0.006039524	8	0.00463323	7	0.003994221	13	0.003490536	2	0.003114791	10	0.002752736	12	0.002396593	0	0.001673318	11	0.001585629	1	0.001139761	      91 ./17921106_GW_sotu104_p004.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p005.txt	0	0.369519929	9	0.314674234	3	0.128650023	4	0.102052395	6	0.06579966	5	0.003999912	8	0.003068538	7	0.00264533	13	0.002311744	2	0.002062893	10	0.001823107	12	0.001587238	11	0.001050145	1	7.55E-04	      74 ./17921106_GW_sotu104_p005.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p006.txt	11	0.644364338	0	0.194968378	5	0.072583332	4	0.020811155	9	0.016031673	3	0.012228243	6	0.009198623	8	0.006418417	7	0.005533197	13	0.004835441	2	0.004314922	10	0.003813367	12	0.003320002	1	0.001578912	      41 ./17921106_GW_sotu104_p006.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p007.txt	5	0.557929181	11	0.345465111	4	0.022239291	9	0.017131823	3	0.013067388	6	0.009829865	8	0.006858871	7	0.005912905	13	0.005167266	2	0.004611028	10	0.004075054	12	0.003547832	0	0.002477122	1	0.001687262	      35 ./17921106_GW_sotu104_p007.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p008.txt	5	0.484224064	0	0.337631369	3	0.124853014	4	0.031850007	9	0.00600519	6	0.003445646	8	0.002404229	7	0.002072641	13	0.001811273	2	0.001616296	10	0.001428422	12	0.001243616	11	8.23E-04	1	5.91E-04	      95 ./17921106_GW_sotu104_p008.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p009.txt	5	0.329450438	3	0.269095349	6	0.137632175	11	0.130630126	4	0.085027932	9	0.016031673	8	0.006418417	7	0.005533197	13	0.004835441	2	0.004314922	10	0.003813367	12	0.003320002	0	0.002318049	1	0.001578912	      37 ./17921106_GW_sotu104_p009.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p010.txt	9	0.456973487	3	0.22941624	13	0.185275343	8	0.058095766	5	0.030185887	2	0.015121992	10	0.01501132	4	0.004592125	6	0.002029739	7	0.001220938	12	7.33E-04	0	5.11E-04	11	4.85E-04	1	3.48E-04	     179 ./17921106_GW_sotu104_p010.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p011.txt	3	0.398918242	9	0.203800669	7	0.199204813	4	0.177781157	6	0.004026826	5	0.003662578	8	0.002809752	13	0.002116782	2	0.001888918	10	0.001669355	12	0.001453378	0	0.001014759	11	9.62E-04	1	6.91E-04	      93 ./17921106_GW_sotu104_p011.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p012.txt	9	0.356703794	0	0.302760024	3	0.187846194	6	0.08633622	12	0.034440528	5	0.018973365	4	0.00544006	8	0.001677781	7	0.001446384	13	0.00126399	2	0.001127926	10	9.97E-04	11	5.74E-04	1	4.13E-04	     142 ./17921106_GW_sotu104_p012.txt
file:/Users/dingyi/mallet-2.0.7/speeches_wnl_paragraph/17921106_GW_sotu104_p013.txt	12	0.542795944	3	0.14170111	6	0.140105762	7	0.10436013	4	0.044774287	9	0.008442011	5	0.004405688	8	0.003379831	13	0.002546262	2	0.002272166	10	0.002008055	0	0.001220646	11	0.001156679	1	8.31E-04	      74 ./17921106_GW_sotu104_p013.txt
